Data,ID,Name,Power,Alliance,T4-Kills,T5-Kills,Total Kill Points,Dead Troops,Troops Power
2025/07/29,86781410,紅ˣ Nobooのぶ,"92,339,177",62Ys,"69,544,219","224,401,835","5,195,554,808","16,034,128","36,049,857"
2025/07/29,66294152,ʚ豹ɞ Rasshii,"92,288,818",62Ys,"236,792,538","425,583,445","10,930,937,184","40,473,018","33,898,598"
2025/07/29,69345081,にゃぎʚnxɞ,"90,917,099",62Ys,"103,316,761","251,305,061","6,080,778,812","16,739,362","33,005,229"
2025/07/29,50898218,SUIRȺN,"90,774,995",62Ys,"147,357,027","241,316,606","6,315,546,696","46,271,875","31,869,175"
2025/07/29,75579014,ともママ,"90,639,227",62Ys,"57,913,947","209,796,721","4,812,488,013","25,097,192","32,750,707"
2025/07/29,61953062,裏ボス・ユミエラ,"90,624,577",62TM,"159,103,811","180,828,069","5,243,422,882","33,517,739","33,527,857"
2025/07/29,57960264,Æ閻魔Rimuru,"90,212,341",62Ys,"141,666,984","325,240,145","7,939,638,956","30,536,620","31,382,071"
2025/07/29,63774646,NORIMETAL Æ,"89,259,594",62Ys,"106,803,293","241,522,275","5,935,451,090","22,850,054","31,492,624"
2025/07/29,46840585,冷奴カズキチÆ,"88,534,639",62Ys,"56,635,605","101,392,795","2,610,035,442","32,598,914","30,685,669"
2025/07/29,48275800,ʸˢglonige Æ,"88,456,959",62Ys,"179,103,049","413,005,458","10,077,673,274","29,425,443","29,543,589"
2025/07/29,46175375,紅ˣ デデドン,"87,375,051",62Ys,"144,544,406","324,700,945","7,955,068,556","26,388,402","27,738,731"
2025/07/29,45188350,紅ˣ マイキー,"87,287,540",62Ys,"68,005,098","216,135,309","5,013,804,490","19,050,395","29,515,820"
2025/07/29,44393932,鬼silverbackÆ,"87,243,786",62Ys,"60,575,620","136,192,257","3,352,799,550","35,675,567","28,098,466"
2025/07/29,86419633,火将口シエル,"87,118,412",62Ys,"48,019,818","112,423,349","2,741,069,518","14,964,148","31,473,392"
2025/07/29,43594774,紅ˣ ぺじぃ,"85,547,718",62Ys,"123,501,049","275,084,214","6,776,188,788","22,703,423","28,269,398"
2025/07/29,43195392,Pô珍VaziBoo,"85,471,661",62Ys,"218,482,505","525,972,965","12,745,307,507","34,966,557","27,134,941"
2025/07/29,59221224,ʸˢ ʚïɞよあん,"84,537,314",62Ys,"72,047,517","176,928,427","4,269,418,317","19,502,886","27,039,162"
2025/07/29,46388305,boti ぎーの,"83,523,426",62Ys,"63,491,189","129,499,725","3,231,235,826","33,702,568","25,026,456"
2025/07/29,64955618,犬畜生零式,"83,175,061",62Ys,"38,307,484","58,575,827","1,557,601,336","13,056,801","26,946,891"
2025/07/29,53533972,のりのり48,"82,990,732",no alliance,"27,732,521","19,360,749","692,769,850","12,700,025","27,581,062"
2025/07/29,90988807,NanaKat,"82,770,758",62Ys,"22,748,897","75,859,660","1,751,898,999","13,304,986","26,231,638"
2025/07/29,86349143,紅ˣ MIZUKAZE,"82,768,950",62Ys,"82,288,053","210,564,472","5,040,567,119","21,399,949","24,217,933"
2025/07/29,56224326,Acid Black 2020,"82,600,794",62Ys,"53,655,140","155,052,362","3,642,796,338","16,752,615","24,182,174"
2025/07/29,63631811,紅ˣ ゴロリーÆ,"82,236,310",62Ys,"77,708,972","167,843,154","4,141,305,725","22,273,669","24,479,190"
2025/07/29,65742436,TAIKI,"82,094,461",62Ys,"161,679,527","133,274,162","4,380,688,231","25,824,850","24,432,891"
2025/07/29,81057748,Ishi ちゃま,"82,069,455",62Ys,"163,307,789","254,069,899","6,725,426,611","24,903,595","30,341,103"
2025/07/29,66165609,ʸˢ Emoo Æ,"81,934,418",62Ys,"83,926,751","215,832,218","5,160,105,008","15,003,658","23,957,398"
2025/07/29,52655143,コウスケ34,"81,776,117",62Ys,"46,356,662","68,957,490","1,889,950,343","15,745,430","25,552,497"
2025/07/29,43458429,紅x雪坊主,"81,770,445",62Ys,"462,567,660","261,172,046","10,001,448,104","29,947,612","23,624,325"
2025/07/29,48356981,紅ˣ ふっく,"81,513,592",62Ys,"59,232,786","117,001,505","2,943,133,421","25,005,800","22,692,022"
2025/07/29,138362915,Shiro Itachi,"81,456,619",itsh,"56,961,792","72,968,504","2,052,879,143","8,410,830","26,483,299"
2025/07/29,75764903,Noko12,"81,431,219",62Ys,"50,532,900","104,854,435","2,619,919,345","17,820,083","27,435,629"
2025/07/29,50769820,ヒデロ,"81,250,863",62Ys,"201,158,985","166,260,892","5,401,581,619","31,488,246","22,562,343"
2025/07/29,58841319,濃い綾鷹,"80,921,750",62Ys,"3,398,281","12,411,240","284,248,705","14,980,686","27,202,800"
2025/07/29,75566107,zurgom,"80,755,255",62Ys,"46,380,280","67,865,184","1,828,633,060","18,019,244","25,178,385"
2025/07/29,44034654,motul23,"80,402,854",62Ys,"34,106,783","104,115,771","2,443,906,631","20,284,611","23,743,984"
2025/07/29,62101961,Onaちゃま,"79,862,590",62Ys,"44,939,733","71,217,690","1,878,210,154","10,971,962","20,206,870"
2025/07/29,63992306,ʸˢ紅りんごÆ,"79,839,931",62Ys,"23,946,717","70,027,551","1,641,898,746","19,744,668","24,026,861"
2025/07/29,44900008,じぇんとD5,"79,669,160",62Ys,"98,535,842","197,408,840","4,964,793,201","34,256,358","21,347,540"
2025/07/29,90774894,PANASONIC vn,"79,647,850",62Ys,"49,511,710","108,928,084","2,690,214,334","13,669,942","24,061,080"
2025/07/29,75537207,ʸˢうさぎ Æ,"79,284,467",62Ys,"78,859,730","123,257,578","3,272,321,947","33,530,626","21,218,297"
2025/07/29,55440003,紅ˣ futasora,"79,266,652",62BZ,"45,669,035","81,812,365","2,104,243,247","17,843,532","22,638,482"
2025/07/29,61418186,肉肉18,"79,183,802",62Ys,"62,027,447","135,442,585","3,336,724,063","20,737,042","23,406,032"
2025/07/29,44338285,Hirokita026,"78,955,308",62Ys,"102,605,832","133,953,811","3,753,917,876","24,500,882","21,331,088"
2025/07/29,75715573,いーちゃんÆ,"78,777,900",62Ys,"41,527,750","73,700,944","1,895,750,784","12,631,314","21,846,530"
2025/07/29,64288854,紅ˣ Marumiちゃま,"78,762,186",62Ys,"72,752,909","124,406,908","3,239,584,594","21,465,930","21,917,416"
2025/07/29,43534607,きよっかす,"78,619,035",62Ys,"13,728,716","30,561,947","750,317,592","20,040,222","22,359,665"
2025/07/29,154938108,ナイキ,"78,426,898",62Ys,"27,261,745","25,735,990","821,634,181","4,144,442","23,071,828"
2025/07/29,76902220,紅ほっぺnarumoちゃま,"78,420,609",62Ys,"19,134,144","68,419,586","1,563,149,609","12,612,166","22,953,339"
2025/07/29,44331105,もっこりÆ,"78,257,367",62Ys,"51,020,520","75,616,086","2,025,358,850","15,510,477","21,719,347"
2025/07/29,43394199,紅ˣ ɢᴀs君,"78,235,039",62Ys,"205,378,124","117,517,066","4,517,798,119","30,343,093","20,938,169"
2025/07/29,52814571,金太郎Æ,"77,986,647",62Ys,"25,622,929","40,634,722","1,121,685,733","21,883,115","21,391,877"
2025/07/29,87413138,ロマークエオルシア,"77,811,659",62MJ,"8,492,202","11,216,055","312,273,141","14,842,524","24,063,339"
2025/07/29,55065591,Coo ᴳᵂ,"77,447,225",62Ys,"43,918,015","97,994,752","2,404,465,093","18,216,660","21,240,555"
2025/07/29,52059202,ʸˢmorio Æ,"77,322,172",62Ys,"132,163,764","223,435,087","5,833,451,640","25,163,141","19,551,552"
2025/07/29,60745472,ゆり子,"77,159,432",62TM,"99,640,629","135,657,742","3,767,280,870","24,378,015","20,898,012"
2025/07/29,90904241,紅ˣ ケンtärö,"76,507,984",62Ys,"54,033,749","115,347,186","2,856,588,889","14,068,759","20,459,364"
2025/07/29,75995466,마뚱이,"76,274,091",62Ys,"22,834,977","37,940,372","1,002,160,953","15,115,670","19,883,958"
2025/07/29,44105544,Pô珍VaziPoo,"75,489,192",62Ys,"44,574,722","51,060,088","1,477,272,819","31,498,669","18,782,522"
2025/07/29,45793372,どっふぃーた,"75,456,600",62Ys,"27,083,750","82,235,149","1,926,452,348","13,670,102","22,672,057"
2025/07/29,47773149,紅ˣ 雀雀3,"75,280,989",62Ys,"31,314,491","49,269,082","1,302,146,361","13,692,329","22,569,531"
2025/07/29,61714704,ʚ fibril ɞ,"75,230,632",62BZ,"68,666,884","124,375,864","3,190,131,001","24,013,708","18,630,462"
2025/07/29,46666349,紅ˣ skïn,"75,107,479",62Ys,"199,714,527","309,451,658","8,220,667,673","45,208,993","16,716,859"
2025/07/29,60397571,ぴよねえ,"74,608,810",62Ys,"104,021,219","137,847,135","3,814,497,717","18,701,014","17,677,140"
2025/07/29,75587994,Cibunnn,"74,406,410",62Ys,"5,310,273","6,229,596","178,136,551","7,032,852","18,656,890"
2025/07/29,53322739,Asu kariN,"74,303,084",62Ys,"20,986,965","55,079,877","1,314,033,616","12,468,265","21,244,114"
2025/07/29,53608410,BÖN,"74,140,633",62Ys,"94,891,805","145,812,032","3,885,885,518","25,018,667","17,559,413"
2025/07/29,63721938,紅ˣ モグスケ,"73,508,853",62Ys,"38,121,614","36,640,737","1,127,120,006","19,740,420","16,301,333"
2025/07/29,62075692,Hanaちゃま,"73,439,151",62Ys,"70,567,185","62,641,562","1,983,369,724","23,564,410","15,147,281"
2025/07/29,61731164,Gr SAI5,"73,434,631",62BZ,"160,743,238","208,085,844","5,789,566,092","36,427,197","16,136,611"
2025/07/29,50098845,ﾁﾝpô隊 ガル美,"73,397,604",62Ys,"116,043,837","83,058,116","2,916,918,489","48,006,614","15,384,534"
2025/07/29,54303154,ネギネギᴅ,"73,388,165",62Ys,"44,432,831","100,830,795","2,470,446,311","23,133,565","16,749,745"
2025/07/29,53813223,ʸˢ B B Æ,"73,010,250",62Ys,"52,789,947","60,838,653","1,753,203,083","25,241,548","16,371,630"
2025/07/29,75898438,ねこっ痔,"72,963,005",62Ys,"37,000,764","99,757,228","2,368,119,358","17,727,243","16,150,085"
2025/07/29,86443543,ruru・rakusu1,"72,909,995",62BZ,"76,811,997","79,891,449","2,397,875,372","39,098,812","15,312,725"
2025/07/29,75613491,PASIR705,"72,760,558",62Ys,"44,909,051","49,139,910","1,445,005,405","20,551,004","16,266,238"
2025/07/29,43827528,ʸˢnøødle,"72,618,423",62Ys,"52,553,112","110,496,869","2,747,034,176","22,593,091","15,951,903"
2025/07/29,53972521,紅ˣ Pororiちゃま,"72,287,678",62BZ,"93,094,691","133,107,223","3,656,551,926","23,407,561","15,692,208"
2025/07/29,56303355,にゃんこネコ,"71,959,759",62Ys,"39,275,213","50,018,858","1,403,788,863","15,236,170","16,930,968"
2025/07/29,63059524,cb333,"71,924,387",62Ys,"18,922,435","47,434,835","1,153,593,180","15,342,907","21,896,869"
2025/07/29,43260320,ᴼᴴあぱ,"71,920,022",62Ys,"137,746,417","261,883,366","6,632,855,715","28,692,684","14,764,002"
2025/07/29,63826732,りんちー,"71,389,685",62Ys,"69,589,845","141,814,094","3,546,199,126","21,952,682","14,271,115"
2025/07/29,76049585,Shinn boss,"71,210,610",62GT,"545,971","940,225","24,588,127","5,874,335","16,014,190"
2025/07/29,154741314,Mo ももももも,"70,799,427",62Ys,"16,350,225","38,586,653","960,705,455","5,458,898","16,911,229"
2025/07/29,43424337,HÆX,"70,437,504",62Ys,"44,497,037","79,914,381","2,066,488,555","23,643,597","17,316,123"
2025/07/29,48819294,ʸˢglonike Æ,"70,028,596",62Ys,"179,377,812","210,816,473","6,051,152,936","33,641,740","13,197,426"
2025/07/29,52651826,きむりん320,"70,004,673",62Ys,"21,967,664","26,709,132","763,110,837","20,543,531","14,084,353"
2025/07/29,75679130,XxReNzOxX,"69,720,036",62Ys,"6,926,086","11,302,400","296,046,154","10,435,858","15,607,619"
2025/07/29,73891745,徳川田信秀,"69,441,214",no alliance,"41,634,603","76,965,381","1,983,564,548","33,069,169","13,303,144"
2025/07/29,45150232,ラッシーサブだよ,"69,354,250",62BZ,"128,276,831","108,169,988","3,479,899,962","33,475,081","13,016,980"
2025/07/29,74799240,紅ˣ まはろᵁᵂ,"69,131,650",62Ys,"27,609,760","38,239,211","1,047,247,605","9,696,092","13,932,759"
2025/07/29,46044173,ʸˢglosta Æ,"68,878,928",62Ys,"32,551,921","50,061,691","1,340,609,211","29,142,054","13,194,361"
2025/07/29,17473606,ŠioMiGaDjuro,"68,825,422",62Ys,"5,860,506","10,235,865","263,745,464","15,032,970","14,320,995"
2025/07/29,84714336,戦Yupi ちゃま,"68,694,562",62Ys,"63,763,253","99,656,136","2,636,632,367","42,507,367","12,327,742"
2025/07/29,76340651,ゴネタ0826,"68,666,811",62Ys,"63,045,447","92,144,790","2,490,244,945","14,772,040","13,850,721"
2025/07/29,45719095,小雪坊主,"68,109,954",62EV,"104,853,659","92,968,540","2,940,226,166","27,325,649","21,081,685"
2025/07/29,56868340,博打,"67,967,802",OPAi,"3,459,375","5,737,516","151,069,826","5,101,476","14,819,498"
2025/07/29,63600496,JUJUMAKI,"67,780,008",62Ys,"24,869,365","44,997,227","1,152,342,271","14,634,007","12,550,838"
2025/07/29,44521587,紅ˣねふぇるPïtö,"67,586,608",62Ys,"58,932,358","39,185,677","1,408,105,381","19,859,704","11,483,691"
2025/07/29,75551736,たまごま,"67,387,757",62Ys,"12,327,243","33,104,371","800,438,894","10,999,747","18,716,469"
2025/07/29,79489008,ANUBIS Eg,"67,075,093",62BZ,"9,265,474","13,739,961","375,469,169","9,997,007","15,009,823"
2025/07/29,75199114,LocKỾ,"66,769,536",62Ys,"45,287,422","37,002,892","1,226,201,635","11,338,672","10,192,416"
2025/07/29,58546327,またわー48,"66,445,863",62Ys,"14,600,708","24,164,796","630,334,025","11,009,122","11,476,346"
2025/07/29,76340322,るいぼすtea Æ,"66,389,111",62Ys,"12,639,952","32,428,235","775,774,716","12,552,501","15,911,149"
2025/07/29,44002835,Mana walker,"66,129,891",62Ys,"124,477,711","184,738,774","4,974,718,678","25,825,829","13,710,157"
2025/07/29,84678016,ᴶᴼᴱ Hung,"65,639,224",62Ys,"65,627,876","106,518,779","2,816,455,546","25,608,322","9,845,054"
2025/07/29,73102255,おとーん Æ,"65,446,555",62Ys,"14,689,155","24,122,997","633,070,345","14,875,199","10,547,914"
2025/07/29,86288108,紅ˣ ʚこんɞ,"65,388,904",62Ys,"26,724,521","46,836,267","1,236,840,101","21,996,110","18,043,405"
2025/07/29,75554833,松次郎,"65,308,167",62Ys,"102,978,299","96,926,329","3,033,092,622","17,661,989","10,290,347"
2025/07/29,67648024,紅ˣëBLASTë,"65,278,124",62Ys,"53,786,625","71,977,421","1,982,648,372","15,386,034","8,978,104"
2025/07/29,44492806,無課金のYO,"65,148,688",62Bs,"85,268,515","60,147,898","2,089,945,487","19,337,164","9,054,318"
2025/07/29,44331666,ʸˢsorakazeÆ,"64,984,759",62Ys,"16,642,349","31,797,390","804,954,125","7,884,520","8,392,939"
2025/07/29,75641822,颯翔 Hayato,"64,939,922",no alliance,"805,728","1,232,690","33,631,762","5,763,833","11,512,127"
2025/07/29,59329937,ʸˢRicoSuaveÆ,"64,753,088",no alliance,"105,714,546","65,515,259","2,374,984,759","30,069,233","6,115,768"
2025/07/29,61321258,紅ˣ のびー,"64,469,050",62Ys,"54,165,614","84,092,162","2,234,540,537","19,667,752","7,556,430"
2025/07/29,80392008,AltCtrlDlt,"64,465,101",62BZ,"43,686,478","26,824,913","984,368,343","13,316,547","18,009,561"
2025/07/29,68592382,んじゃらっぱ,"64,390,606",Y#JK,"70,134,378","98,817,081","2,685,757,363","23,756,286","6,305,336"
2025/07/29,75564816,Thailand A,"64,334,783",Y#JK,"456,912","502,598","19,009,947","3,155,185","22,712,432"
2025/07/29,75803233,大雪坊主,"64,237,702",62EV,"18,526,575","11,295,324","415,603,870","19,608,648","19,035,821"
2025/07/29,102273426,紅ˣ村西とおる,"63,796,899",62Ys,"35,987,739","72,916,451","1,855,131,534","26,039,013","7,425,829"
2025/07/29,63503392,bui47,"63,410,627",62Ys,"16,037,408","20,804,930","580,133,184","15,731,363","7,440,807"
2025/07/29,53757320,D toomo,"63,002,374",62Ys,"101,122,781","79,469,803","2,620,810,505","12,985,979","8,140,007"
2025/07/29,2588466,Wind Chasers,"62,951,317",Y#JK,"50,762,659","44,632,893","1,422,013,512","18,960,945","8,181,700"
2025/07/29,152429896,ʚ淡ɞ ふぃぶりる,"62,564,650",62Bs,"8,985,052","15,009,450","390,252,510","6,676,633","15,932,606"
2025/07/29,44858086,のりそん,"62,547,084",62Ys,"19,202,467","22,847,280","654,005,708","17,880,910","5,276,664"
2025/07/29,77349135,こねこっ痔,"61,887,131",OPAi,"7,636,634","10,392,425","285,031,681","12,379,042","10,188,228"
2025/07/29,48259621,すーじーー,"61,694,147",vsr,"15,377,640","13,459,136","426,507,286","14,088,110","6,799,781"
2025/07/29,47070925,久保田万寿,"61,665,844",Y#JK,"13,971,366","10,165,038","344,479,954","6,677,550","4,992,824"
2025/07/29,88365101,ʚ水ɞ ひざくら,"61,594,053",62Bs,"5,742,704","9,455,423","246,751,456","12,571,446","16,242,902"
2025/07/29,61225184,Raru7,"61,567,560",no alliance,"71,569,054","67,040,791","2,073,572,391","18,100,278","6,837,440"
2025/07/29,53551729,紅ᴶᶜ虎Æ,"60,802,670",62BZ,"5,327,291","7,118,618","198,583,959","8,672,448","7,446,553"
2025/07/29,75549989,하나 hime,"60,602,418",62Ys,"15,894,911","32,694,235","822,908,201","10,757,365","19,116,818"
2025/07/29,48819290,みーちゃんÆ,"60,385,968",62BZ,"7,668,010","5,697,618","200,545,409","6,228,057","4,833,948"
2025/07/29,61940800,水銀ﾁﾝPôもっこり,"60,252,213",62Ys,"19,897,947","35,629,689","919,046,292","25,175,323","3,887,293"
2025/07/29,75199727,ビールと餃子,"60,039,449",62Ys,"1,068,347","2,753,533","66,492,028","6,671,119","18,341,322"
2025/07/29,75966931,hazel 2120,"59,968,385",vsr,"2,085,235","1,500,866","51,364,156","2,193,326","17,627,164"
2025/07/29,75683333,亮1889,"59,943,284",62US,"414,820","871,291","22,935,363","466,435","5,068,067"
2025/07/29,19969523,ZIMBA 777,"59,811,123",62AQ,"4,698,128","1,813,969","85,475,536","11,260,049","10,503,100"
2025/07/29,75607809,Asmr24,"59,740,576",62Ys,"2,651,283","2,171,552","79,108,296","15,165,117","3,200,656"
2025/07/29,76168162,하트비는 내리고,"59,647,757",62Ys,"1,444,477","3,610,949","87,804,737","8,449,401","4,166,887"
2025/07/29,86074350,ハローマック,"59,419,566",no alliance,"14,242,048","19,494,048","538,738,642","27,934,724","4,126,646"
2025/07/29,75450101,pOgAk16,"59,384,173",62Ys,"2,681,437","3,806,848","108,007,004","14,408,193","5,921,184"
2025/07/29,49758837,B4NK 62,"59,301,317",62AQ,"9,114,021","2,932,090","157,413,109","5,992,835","11,627,130"
2025/07/29,75627894,Night Train99,"59,071,356",62TM,"439,760","814,022","22,626,499","7,051,839","5,298,036"
2025/07/29,75599779,ANUBIS EG,"58,808,976",62Ys,"25,857,197","31,951,100","911,631,118","14,170,815","3,078,106"
2025/07/29,75740891,紅ˣ スイカ,"58,696,356",62Ys,"11,271,085","26,513,543","645,933,907","7,663,724","12,886,532"
2025/07/29,75648034,DRTheGovernor,"58,595,386",62Ys,"155,503","632,091","14,243,206","5,734,086","8,379,716"
2025/07/29,75526025,ハクサマ,"58,315,936",62MJ,"408,527","70,536","5,624,951","5,888,069","5,735,010"
2025/07/29,44359215,キセルンルン,"58,300,407",62Bs,"20,920,741","12,089,648","473,732,696","6,892,641","3,461,216"
2025/07/29,89031638,ʏᴅᴍ Joe,"58,235,781",62BZ,"26,019,328","20,623,342","682,182,014","19,655,293","7,940,911"
2025/07/29,77788288,テンペスト03,"58,110,292",62Ys,"16,359,960","17,310,684","511,596,842","10,873,683","8,251,055"
2025/07/29,60331566,loveandPeace子,"57,161,501",OPAi,"5,209,091","8,403,423","221,221,360","5,417,862","2,474,734"
2025/07/29,75675049,Dr Marihuana,"56,719,743",62Ys,"18,764,092","21,260,128","617,105,665","10,923,409","2,900,650"
2025/07/29,66401694,Renaエンジェルス,"56,665,974",62MJ,"3,377,327","2,243,226","80,235,873","2,843,170","7,723,375"
2025/07/29,66856286,Shibi333,"56,597,236",62BZ,"6,757,996","7,827,703","228,365,451","15,081,478","16,887,877"
2025/07/29,91183458,紅ˣ Ser1zAwÂ,"56,110,455",62TM,"9,589,730","8,591,873","277,398,813","3,394,856","2,437,408"
2025/07/29,60410525,げききち Ǣ,"56,106,526",62Ys,"56,685,019","55,266,131","1,682,063,790","18,315,240","83,456"
2025/07/29,45776171,PON ᴶ,"56,074,668",62Ys,"36,672,710","52,992,991","1,439,494,261","20,482,151","180,051"
2025/07/29,75192455,にゃんこネコー,"55,553,929",myj6,"8,852,611","8,557,197","263,966,845","10,001,079","6,336,737"
2025/07/29,86444858,RENAエンジェルス,"55,386,362",62MJ,"10,352,684","13,177,133","371,215,514","15,062,787","3,992,036"
2025/07/29,91503174,紅ˣ 鮭ひぃちゃん,"55,210,863",no alliance,"10,556,130","12,247,500","353,882,297","10,740,157","6,123,989"
2025/07/29,61806495,ʸˢ B B sub Æ,"55,102,993",62BZ,"1,046,929","2,665,715","65,162,457","2,708,009","4,044,550"
2025/07/29,75630887,BONITA1927,"54,971,420",no alliance,"14,037,257","9,972,030","342,538,713","14,691,315",0
2025/07/29,75985759,BOYO PUTIH,"54,849,420",no alliance,"6,913,587","8,570,923","240,956,242","13,025,259",0
2025/07/29,74387575,紅ˣミゲᴶᴾ,"54,505,817",62Ys,"14,563,506","19,318,733","546,882,191","7,923,114","6,741,407"
2025/07/29,61224243,ﾁｸびドリルすな,"54,095,181",Y#JK,"3,633,031","2,941,834","99,084,394","12,572,264","4,293,666"
2025/07/29,71003331,しび3,"54,029,480",62BZ,"4,931,804","5,547,369","164,596,015","8,868,385","16,738,616"
2025/07/29,36934149,猫猫猫I,"53,958,505",FRma,"23,249,214","9,134,216","456,795,374","16,192,635","2,784,563"
2025/07/29,64506234,isa me is yogi,"53,474,981",no alliance,"17,129,248","12,768,464","439,913,889","18,705,398","1,190,074"
2025/07/29,70987081,紅ˣ 鬼烈火,"52,766,718",62BZ,"2,794,403","4,806,141","124,807,639","11,049,979","12,154,246"
2025/07/29,128137202,Ragnar LOthBrok,"52,222,912",62Ys,"1,104,460","1,297,398","38,163,464","6,011,933","3,329,638"
2025/07/29,63350747,なは Hana,"51,817,180",62BZ,"1,309,132","1,251,600","40,365,426","6,240,552","3,906,995"
2025/07/29,49313662,ブレイナード,"51,306,259",F_K3,"2,827,852","1,668,046","63,446,400","5,108,507","1,634,365"
2025/07/29,75629357,TEQUILA KILLER,"50,792,880",62BZ,"3,517,631","5,983,045","158,923,559","6,543,154","9,864,140"
2025/07/29,163260933,ᶠʳspindrift,"50,156,876",62US,"6,089,940","580,561","73,340,915","891,378","14,323,381"
2025/07/29,134107924,秋mayoネーズ,"49,888,656",62BZ,"18,410,833","31,992,023","846,492,497","8,405,496","898,882"
2025/07/29,99941000,痔族コスリ,"49,169,986",OPAi,"1,490,152","1,339,768","41,942,006","1,759,524","11,789,596"
2025/07/29,80363901,痔族モッコリ,"49,139,245",OPAi,"2,476,211","3,080,332","86,756,725","3,856,824","10,965,660"
2025/07/29,75897437,フニャー痔,"49,023,267",OPAi,"4,003,767","3,404,175","108,544,946","4,907,198","10,279,882"
2025/07/29,87326938,ANUBIS eg,"48,405,634",62BZ,"739,208","785,146","23,364,351","1,909,983","14,748,184"
2025/07/29,132030101,۞秋Aki۞,"48,400,819",62Ys,"18,360,400","41,322,243","1,015,650,284","9,883,950","5,905,563"
2025/07/29,57522960,にゃんこ楓,"48,227,147",myj6,"4,424,659","6,276,717","170,883,688","6,252,621","11,372,189"
2025/07/29,46529343,Suiran0,"47,365,009",62MJ,"5,934,691","1,913,272","106,316,596","5,520,486","2,068,700"
2025/07/29,58711003,BSそら豆くん,"47,208,774",62Bs,"791,908","174,539","11,411,251","410,479","15,066,785"
2025/07/29,59799988,ラシ農場22,"47,200,183",62Bs,"14,270,944","8,767,349","336,347,359","17,107,551","8,232,656"
2025/07/29,75678707,路边小吃,"47,186,987",Y#JK,"519,688","56,240","10,509,381","2,270,015","7,489,262"
2025/07/29,45950900,ヌキ型ロボット,"47,112,585",Y#JK,"1,850,645","3,424,136","87,125,490","11,260,078","6,011,802"
2025/07/29,78756222,ruru・rakusu2,"47,049,054",62MJ,"6,460,154","6,125,993","188,702,476","18,493,410","7,966,922"
2025/07/29,61928483,motu Ⅱ,"46,950,393",62MJ,"2,181,895","3,582,444","96,207,464","3,509,078","2,999,558"
2025/07/29,132026392,秋レミー,"46,854,244",62Bs,"12,322,352","7,950,725","289,190,770","7,924,786","12,852,043"
2025/07/29,56196422,破天荒クロ,"46,616,330",62Ys,"15,193,352","7,833,472","371,327,783","18,150,896","6,947,296"
2025/07/29,75404201,Jocký,"46,526,364",62MJ,"1,437,994","217,089","19,817,893","3,505,565","10,800,713"
2025/07/29,45222071,あぱふぁーむ,"46,439,048",62BZ,"4,549,035","4,742,570","140,796,683","7,142,047","3,627,384"
2025/07/29,100516001,粉雪坊主,"46,311,310",62EV,"8,893,379","4,542,480","182,370,664","11,801,765","12,635,808"
2025/07/29,99013110,雪うさ,"46,240,441",62EV,"4,662,887","2,131,224","90,905,554","9,363,340","15,471,145"
2025/07/29,49657802,ふっくasst,"46,159,140",62BZ,"8,794,532","8,585,886","261,764,862","15,126,312","5,682,557"
2025/07/29,75723749,하트문덕,"45,904,881",62Ys,"255,168","515,783","13,367,977","3,647,792","3,842,271"
2025/07/29,73164104,のびー2,"45,667,978",62EV,"2,606,775","4,510,764","118,131,773","9,032,792","4,987,284"
2025/07/29,57958857,閻魔の愛犬,"45,622,304",Y#JK,"676,245","1,441,371","35,603,351","4,485,478","5,679,667"
